Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2017,2018,2019,2020,2021,2022,2023
1706219,Kogon tumani,Каганский район,Kagan district,1277567.0,1529114.4,1824528.4,2183863.7,2253837.7,2506378.6,2757372.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,1126544.5,1086214.5,1442222.3,1899983.6,1911169.3,2172928.2,2413822.9
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,1711445.4,2395548.6,2596602.3,3308567.7,3665391.3,4292507.9,5097764.7
1706240,Peshku tumani,Пешкунский  район,Peshkun district,1036767.7,1217912.2,1524564.6,1826603.3,1719373.7,2354660.0,2625722.8
1706242,Romitan tumani,Ромитанский район,Romitan district,1507773.2,1407828.3,1661711.3,2035245.9,2033872.7,2703998.7,2789609.7
1706246,Jondor tumani,Жондоpский район,Jondor  district,1061180.9,1273897.4,1504271.0,2014276.2,1909312.8,2118510.4,2539590.1
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,1031390.6,1199689.9,1585950.4,1744462.4,1744940.7,2105353.6,2340051.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,1077894.5,1292839.0,1591105.7,1820344.1,2113186.7,2529666.9,2944351.6
1708401,Jizzax shahri,Город Джизак,Jizzakh city,1355407.8,1612552.6,2000859.8,2319592.9,2688064.2,3171507.1,3735115.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,1027958.3,1206116.8,1476365.3,1555814.1,1761173.0,2058729.4,2477366.2
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,1033732.8,1158462.9,1554959.3,1714542.2,2042847.0,2386839.7,2578781.3
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,916063.7,1126177.2,1343570.7,1536036.7,1680024.2,2282989.0,2788913.2
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,951161.9,1206626.9,1393845.5,1556257.9,1720509.8,2047143.4,2338937.9
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,1153215.3,1348553.4,1616496.9,1657610.4,1876687.1,2036073.9,2381257.8
1708218,Zomin tumani,Зааминский район,Zomin district,939814.0,1168374.7,1495031.4,1723240.1,2103582.4,2396720.0,2663727.5
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,944228.2,1120342.1,1316149.8,1598804.6,1901016.3,2315396.3,2859202.7
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,930169.0,1194843.7,1410859.2,1457266.5,1725757.0,2098942.6,2387163.8
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,951237.0,1108911.9,1365699.8,1701289.9,2092576.4,2554486.2,3337936.4
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,1013970.7,1109355.4,1330263.5,1748775.2,1860510.8,2474212.4,2526435.6
1708235,Forish tumani,Фаришский район,Farish district,1005775.4,1086087.9,1363816.2,1515458.9,1811014.8,2113229.8,2318553.7
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,885825.2,1118521.2,1345774.3,1592224.6,1864895.6,2029195.5,2253087.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,1132971.7,1466691.6,1720268.9,1834526.5,2154379.9,2590142.9,2940211.7
1710401,Qarshi  shahri,Город Карши,Karshi city,1374449.6,1653357.7,1943364.9,2278504.9,2872947.8,3346631.2,3926965.2
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,1003498.4,1143929.2,1412351.8,1551162.2,1802852.1,2107303.2,2473184.8
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,0.0,0.0,0.0,0.0,0.0,2091859.3,2375525.3
1710207,G‘uzor tumani,Гузарский район,Gissar district,1946281.3,2319463.4,2624324.1,2372200.3,2728661.8,3113072.4,3332376.1
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,974243.6,1272485.4,1506075.3,1690318.8,2057810.0,2527403.6,2948864.2
1710220,Qamashi tumani,Камашинский район,Kamashi district,912996.8,1152674.3,1498440.7,1691558.5,1793260.6,2077096.4,2176177.8
1710224,Qarshi tumani,Каршинский район,Karshi district,931767.7,1280109.6,1344143.4,1505031.5,1791413.9,2098534.4,2459926.1
1710229,Koson tumani,Касанский район,Kasan district,1009862.8,1282889.5,1628934.2,1778178.5,1876215.5,2100542.1,2400203.9
1710232,Kitob tumani,Китабский район,Kitab district,781813.1,1019787.2,1259142.1,1345530.6,1441713.4,2053239.2,2259449.9
