Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2017,2018,2019,2020,2021,2022,2023
1733401,Urganch shahri,Город Ургенч,Urgench city,1243810.2,1563399.0,2004582.9,2370454.1,2883414.5,3507518.7,4196869.2
1733406,Xiva shahri,Город Хива,Khiva city,908946.8,1087148.4,1414468.0,1486076.3,1776535.4,2111678.2,2591209.4
1733204,Bog‘ot tumani,Багатский район,Bagat district,1047732.5,1276881.6,1668154.8,1788354.3,2110872.0,2376042.6,2763072.9
1733208,Gurlan tumani,Гурленский район,Gurlan district,965776.3,1201341.5,1559778.5,1717698.1,1997916.7,2345254.2,2539514.3
1733212,Qo‘shko‘pir tumani,Кошкупырский район,Kushkupyr district,940118.2,1109615.2,1543069.6,1563046.0,1798753.8,2063589.8,2331863.1
1733217,Urganch tumani,Ургенчский район,Urgench district,974140.9,1302502.8,1542972.0,1708159.0,1972661.6,2198086.0,2698223.3
1733220,Xazorasp tumani,Хазараспский район,Khazarasp district,1105458.5,1448358.9,1990775.7,1601664.7,1728964.6,2039706.7,2353561.8
1733221,Tuproqqal’a tumani,Тупроккалинский район,Tuprakkala district,0.0,0.0,0.0,2680648.8,3103994.5,3923195.3,4721147.2
1733223,Xonqa tumani,Ханкинский район,Khanka district,917598.8,1255764.6,1560447.8,1876595.2,2086293.1,2456770.5,2651492.8
1733226,Xiva tumani,Хивинский район,Khiva district,962327.5,1176236.6,1514584.6,1776272.1,2066364.0,2480689.1,2482372.8
1733230,Shovot tumani,Шаватский район,Shavat district,990123.3,1121569.7,1577546.6,1905356.3,2161724.1,2460184.0,2780933.3
1733233,Yangiariq tumani,Янгиарыкский район,Yangiaryk district,1084493.1,1264763.5,1738796.3,1928322.2,2147247.5,2731063.6,2989896.1
1733236,Yangibozor tumani,Янгибазарский район,Yangibazar district,1032803.9,1239798.3,1674001.6,1791446.8,1844410.6,2214263.1,2617453.7
1726,Toshkent shahri,город Ташкент,Tashkent city,1721223.6,2115539.5,2739960.3,3267802.4,3999294.4,4817635.1,6047077.3
1726262,Uchtepa tumani,Учтепинский район,Uchtepa district,1161656.7,1359588.1,1707971.6,2352524.0,3040732.7,3077683.4,3328698.5
1726264,Bektemir tumani,Бектемирский район,Bektemir district,1572794.4,1922790.2,2399370.4,2860377.6,3308461.3,3532796.8,4249842.2
1726266,Yunusobod tumani,Юнусабадский район,Yunusabad district,1783360.1,2256609.5,3196321.7,3753879.9,4665265.3,5848985.0,7520977.3
1726269,Mirzo Ulug‘bek tumani,Мирзо Улугбекский район,Mirzo Ulugbek district,1721932.3,2034092.6,2701025.4,3208138.3,4080800.5,4760578.0,6083659.4
1726273,Mirobod tumani,Мирабадский район,Mirabad district,2176855.4,2706983.1,3473579.4,4073450.5,4938762.6,6331723.7,8352579.6
1726277,Shayxontoxur tumani,Шайхантахурский район,Shaykhantakhur district,1965420.3,2528192.5,3009026.3,3647064.1,4441364.6,5252989.7,6396948.3
1726280,Olmazor tumani,Алмазарский район,Almazar district,1313526.1,1541734.0,2091283.4,2473208.0,3073589.6,3673753.4,4314442.8
1726283,Sirg‘ali tumani,Сергелийский район,Sergeli district,1770829.9,2337608.5,2617472.9,2342610.1,3031465.8,4188268.3,5036184.2
1726287,Yakkasaroy tumani,Яккасарайский район,Yakkasaray district,1777913.8,2173033.3,2979413.6,3705818.5,4172286.7,4831710.1,6241874.9
1726290,Yashnobod tumani,Яшнободский район,Yashnabad district,1581967.1,1905206.0,2534627.1,3342780.4,4051878.6,4678591.7,5942124.1
1726292,Yangihayot tumani,Янгихаётский район,Yangikhayot district,0.0,0.0,0.0,2158655.7,2438366.5,2898007.8,3939231.5
1726294,Chilonzor tumani,Чиланзарский район,Chilanzar district,1459158.7,1723040.2,2327619.2,2817785.1,3600733.9,4381462.5,5417692.7
